Name,Address,City,State,Zip,Phone,Handicap Accessible
Cohen's Fashion Optical,1709 Third Avenue,New York,NY,10128,(212) 348-1966,Yes
Eye Care Advantage,1050 Clove Road,Staten Island,NY,10301,(718) 448-9014,Yes
Dr. Raymond Helfand,1378 Forest Avenue,Staten Island,NY,10302,(718) 442-2727,Yes
Specs for Less,1489 Forest Avenue,Staten Island,NY,10302,(718) 727-5059,Yes
Bay Street Optical,664 Bay Street,Staten Island,NY,10304,(718) 727-5678,Yes
I'll Be Seeing You Optical,1140 Bay Street,Staten Island,NY,10305,(718) 447-7483,Yes
Spare Pair II Vision Center,1300 Hylan Boulevard,Staten Island,NY,10305,(718) 987-2020,Yes
General Vision @Cohen's Fashion Optical,2748 Hylan Boulevard,Staten Island,NY,10306,(718) 979-2200,Yes
Sterling Optical,2626 Hylan Boulevard,Staten Island,NY,10306,(718) 987-7200,Yes
"IZE Optical, Inc.",59 Page Avenue,Staten Island,NY,10309,(718) 948-9682,Yes
Eye Care Advantage,4771 Hylan Boulevard,Staten Island,NY,10312,(718) 356-6697,Yes
I'll Be Seeing You,262 Arden Avenue,Staten Island,NY,10312,(718) 356-3249,Yes
Specs for Less,3245 Richmond Avenue,Staten Island,NY,10312,(718) 605-4102,Yes
Cohen's Fashion Optical,2655 Richmond Avenue,Staten Island,NY,10314,(718) 698-6666,Yes
S.H. Laufer Vision World,2845 Richmond Avenue,Staten Island,NY,10314,(718) 494-1319,Yes
Eye Care Advantage,326-8 E 149 Street,Bronx,NY,10451,(718) 585-6100,Yes
General Vision,234 East 149th Street,Bronx,NY,10451,(718) 665-0611,Yes
MBM Optical,76 E. 170 Street,Bronx,NY,10452,(718) 992-4600,Yes
Burnside Optical,54 West Burnside Avenue,Bronx,NY,10453,(718) 299-5454,Yes
Kelly's Fashion Optical,529 East 138th Street,Bronx,NY,10454,(718) 618-7543,Yes
Optical City Xpress,399 E. 149th Street,Bronx,NY,10455,(718) 292-9500,Yes
Bronx Eyecare,2374 Grand Concourse,Bronx,NY,10458,(718) 365-6300,Yes
Fordham Eyes,213 East Fordham Road,Bronx,NY,10458,(718) 562-5000,Yes
Metrop Optics Eyewear,1038 Southern Boulevard,Bronx,NY,10459,(718) 328-7137,Yes
Sight N Style,1036 Westchester Avenue,Bronx,NY,10459,(718) 542-5400,Yes
Metro Optics Eyewear II,25 Westchester Square,Bronx,NY,10461,(718) 597-6162,Yes
Creston Optical,2169 White Plains Road,Bronx,NY,10462,(718) 409-2200,Yes
Metro Optics Eyewear,1332 Metropolitan Avenue,Bronx,NY,10462,(718) 829-5605,Yes
Pelham Parkway Vision Center,735 Lydig Avenue,Bronx,NY,10462,(718) 829-2160,Yes
Perfect Vision Inc.,1264 Castle Hill Avenue,Bronx,NY,10462,(718) 823-5006,Yes
Vision World of the Bronx,49 Hugh Grant Circle,Bronx,NY,10462,(718) 863-3023,Yes
Bronx Eye Care Optomertry,5571 Broadway,Bronx,NY,10463,(718) 543-2020,Yes
Riverdale Optical,219 West 231st St.,Bronx,NY,10463,(718) 543-8066,Yes
Sajo Optometric Care,801 East 233 rd Street,Bronx,NY,10466,(347) 603-7125,Yes
Bainbridge Optical,3120 Bainbridge Avenue,Bronx,NY,10467,(718) 655-6040,Yes
Bronx Eye Associates,665 Pelham Parkway North,Bronx,NY,10467,(718) 547-2020,Yes
Cohen's Fashion Optical,3416 Jerome Avenue,Bronx,NY,10467,(718) 325-3160,Yes
Hollywood Optical,702 Allerton Avenue,Bronx,NY,10467,(718) 654-2020,Yes
Sight & Fashion Optical,3870 White Plains Road,Bronx,NY,10467,(718) 652-5801,Yes
Cohen's Fashion Optical,138 East Fordham Road,Bronx,NY,10468,(718) 933-0187,Yes
Kingsbridge Eye Center,103 W. Kingsbridge Road,Bronx,NY,10468,(718) 548-1732,Yes
Lens Lab Express,125 E. Fordham Road,Bronx,NY,10468,(718) 329-2020,Yes
Sight 'N' Style,1 E. Fordham Road,Bronx,NY,10468,(718) 733-6700,Yes
Steven John Opticians,5901 Riverdale Avenue,Bronx,NY,10471,(718) 543-3336,Yes
Lens Lab Express,1998 Bruckner Boulevard,Bronx,NY,10473,(718) 430-9776,Yes
Vision Quest Optical,880 White Plains Road,Bronx,NY,10474,(718) 239- 9389,Yes
Lens Lab Optical,2124 Bartow Avenue,Bronx,NY,10475,(718) 379-2020,Yes
Bronx Eyecare,2075 Bartow Avenue,Bronx,NY,10475,(718) 677-5666,Yes
Dr. Aaron Mandel,228 Livingston Street,Brooklyn,NY,11201,(718) 625-2137,Yes
General Vision,66  Court Street,Brooklyn,NY,11201,(718) 625-0025,Yes
Sterling Optical,423 Fulton Street,Brooklyn,NY,11201,(718) 522-5656,Yes
Sharper Vision,887 Utica Avenue,Brooklyn,NY,11203,(718) 282-8363,Yes
Sterling Optical,524 Clarkson Avenue,Brooklyn,NY,11203,(718) 778-3036,Yes
Kings Eyes,6603 Bay Parkway,Brooklyn,NY,11204,(718) 259-8489,Yes
My Eye Doctor,7401 18th Avenue,Brooklyn,NY,11204,(718) 232-3907,Yes
Graham Optical Express,2 Graham Avenue,Brooklyn,NY,11206,(718) 963-1177,Yes
Lens Lab,28 Graham Avenue,Brooklyn,NY,11206,(718) 486-0117,Yes
New York Optical,48 Graham Avenue,Brooklyn,NY,11206,(718) 388-7400,Yes
Affordable Optical,111-22 Flatlands Avenue,Brooklyn,NY,11207,(718) 257-9393,Yes
Bristol Opticians,949 Pennsylvania Avenue,Brooklyn,NY,11207,(718) 649-6526,Yes
My Optical,922 Pennsylvania Avenue,Brooklyn,NY,11207,(718) 240-9401,Yes
Eyes on Liberty,1086 Liberty Avenue,Brooklyn,NY,11208,(718) 277-1200,Yes
Lens Lab Express,482 86th Street,Brooklyn,NY,11209,(718) 921-5488,Yes
Oasis Vision Center Inc,7411 Fifth Avenue,Brooklyn,NY,11209,(718) 921-4827,Yes
Opticians of Bayridge,8721 4th Avenue,Brooklyn,NY,11209,(718) 238-3937,Yes
Flatbush Optical,1594 Flatbush Avenue,Brooklyn,NY,11210,(718) 434-0539,Yes
Eyeco Vision,152 Bedford Avenue,Brooklyn,NY,11211,(718) 388-5078,No
My Optician,9516 Church Avenue,Brooklyn,NY,11212,(718) 495-8801,Yes
Shades of Brooklyn,1619 Pitkin Avenue,Brooklyn,NY,11212,(718) 342-4300,Yes
Clear Vision Center,369 Utica Avenue,Brooklyn,NY,11213,(718) 771-0078,Yes
Bensonhurst Family Vision,2142 86th Street,Brooklyn,NY,11214,(718) 372-5144,Yes
C.J. Optics Inc,2167 86th Street,Brooklyn,NY,11214,(718) 946-3647,Yes
Ultimate Vision Care,2250 86th Street,Brooklyn,NY,11214,(718) 714-1000,Yes
9 Street Optical,332 9 Street,Brooklyn,NY,11215,(718) 965-2545,Yes
Cohen's Fashion Optical,298 7th Avenue,Brooklyn,NY,11215,(718) 768-3939,Yes
Eyes on the Slope,158 7th Avenue,Brooklyn,NY,11215,(718) 399-1825,Yes
Optical Illusion,490 5th Avenue,Brooklyn,NY,11215,(718) 832-1100,Yes
Dr. Lamont Freeman,529 Nostrand Avenue,Brooklyn,NY,11216,(718) 638-1844,Yes
Shades of Vision,505 Nostrand Avenue,Brooklyn,NY,11216,(718) 622-4444,Yes
Atlantic Optical,139 Flatbush Avenue,Brooklyn,NY,11217,(718) 522-3737,Yes
Eyes and Optics Livingston,314 Livingston Street,Brooklyn,NY,11217,(718) 875-3351,Yes
Exclusive Eyewear,362 Livingston Street,Brooklyn,NY,11217,(718) 596-9393,Yes
Family Vision Center,1023 Church Avenue,Brooklyn,NY,11218,(718) 826-1234,Yes
Flatbush Optical,743 Church Avenue,Brooklyn,NY,11218,(718) 871-5152,Yes
Gibbs and Gold Optical,503 Ditmas Avenue,Brooklyn,NY,11218,(347) 221-1422,Yes
BayRidge Family Eyecare,6834 Third Avenue,Brooklyn,NY,11220,(718) 680-3270,Yes
Eyes on 8th,5824- A 8th Avenue,Brooklyn,NY,11220,(718) 567-8028,Yes
Warehouse Optical Outlet / SunRx,764 Manhattan Avenue,Brooklyn,NY,11222,(718) 349-8313,Yes
Mega Vision Center,187 Avenue U,Brooklyn,NY,11223,(718) 373-2020,Yes
Modern Optika,453 Kings Highway,Brooklyn,NY,11223,(718) 336-1060,Yes
Ocean View Optical,944 Kings Highway,Brooklyn,NY,11223,(718) 339-9800,Yes
Mermaid Optical,2819 Mermaid Avenue,Brooklyn,NY,11224,(718) 265-6066,Yes
Neptune Family Eyecare,528 Neptune Avenue,Brooklyn,NY,11224,(718) 996-5323,Yes
Citi Center Optical,708 Flatbush Avenue,Brooklyn,NY,11225,(718) 282-9222,Yes
Franklin Primary Eyecare,847 Franklin Avenue,Brooklyn,NY,11225,(718) 604-1002,Yes
"Nostrand Optical, Inc.",1018C Nostrand Avenue,Brooklyn,NY,11225,(718) 773-9391,Yes
National Vision Center,820 Flatbush Avenue,Brooklyn,NY,11226,(718) 693-5994,Yes
Optical Warehouse Outlet,844 Flatbush Avenue,Brooklyn,NY,11226,(718) 941-8585,Yes
Payless Lens Lab,972 Flatbush Avenue,Brooklyn,NY,11226,(718) 826-0005,Yes
M & L Vision Center,7420 13th Avenue,Brooklyn,NY,11228,(718) 748-7061,Yes
Kings Vision,1302 Kings Highway,Brooklyn,NY,11229,(718) 645-8017,Yes
Vision Palace,1723 Avenue U,Brooklyn,NY,11229,(718) 998-8400,Yes
Dr. Rachel Kahan,934 E 18th Street,Brooklyn,NY,11230,(718) 758-1903,Yes
Parkville Vision Center,739 Ocean Parkway,Brooklyn,NY,11230,(718) 434-0881,Yes
Cohen's Fashion Optical,5171 Kings Plaza Mall,Brooklyn,NY,11234,(718) 951-9800,Yes
Dr. Eli Kassin,5520 Glenwood Road,Brooklyn,NY,11234,(718) 763-7777,Yes
General Vision,2504 Flatbush Avenue,Brooklyn,NY,11234,(718) 253-7700,Yes
Pearle Vision,2103 Ralph Avenue,Brooklyn,NY,11234,(718) 241-0400,Yes
Vision Associates of Sheepshead Bay,1311 Avenue Z,Brooklyn,NY,11235,(718) 891-0832,Yes
Vogue Optical,3723 Nostrand Avenue,Brooklyn,NY,11235,(718) 646-6200,Yes
Contemporary Eye Care,1761 Rockaway Pkwy,Brooklyn,NY,11236,(718) 531-1100,Yes
Optic Designs Ltd.,1416 Rockaway Parkway,Brooklyn,NY,11236,(718) 257-2339,Yes
Dr. David Nathanson,337 Knickerbocker Avenue,Brooklyn,NY,11237,(718) 456-2834,Yes
"Desmond Optical, Inc.",196 Prospect Place,Brooklyn,NY,11238,(718) 623-9122,Yes
Cohen's Fashion Optical,30-95 Steinway Street,Astoria,NY,11103,(718) 274-3500,Yes
GVS Astoria @ Steinway Street,30-42 Steinway Street,Astoria,NY,11103,(718) 726-5503,Yes
Lens Lab Express,30-73 Steinway Street,Astoria,NY,11103,(718) 278-8780,Yes
Dr. Michael Georgescu,41-07 Queens Boulevard,Sunnyside,NY,11104,(718) 784-2277,Yes
Fokas Eyecare,21-82 Steinway Street,Astoria,NY,11105,(718) 626-3944,Yes
Astoria Vision Center,36-20 Broadway,Astoria,NY,11106,(718) 204-2007,Yes
Eye Care Advantage,31-75 23rd Street,Long Island City,NY,11106,(718) 956-2385,Yes
Cohen's Fashion Optical,40-17 Main Street,Flushing,NY,11354,(718) 539-4232,Yes
Northern Eye Care,141-14 A Northern Blvd.,Flushing,NY,11354,(718) 888-2691,Yes
"Parsons Visions, Inc.",2521 Parsons Boulevard,Flushing,NY,11354,(718) 353-7352,Yes
Eye Care Advantage,140-15 Sanford Avenue,Flushing,NY,11355,(718) 670-6940,Yes
Queens Optical Center,41-61 Kissena Boulevard,Flushing,NY,11355,(718) 539-9254,No
College Point Optical,18-26 College Point Boulevard,College Point,NY,11356,(718) 359-2834,Yes
Optometrics Eye Care,153-69 Cross Island Parkway,Whitestone,NY,11357,(718) 767-6379,Yes
Whitestone Vision Center,150-12 14th Avenue,Whitestone,NY,11357,(718) 746-3937,Yes
Dr. David Orenstein,"nd36-03 162 Street",Flushing,NY,11358,(718) 353-1220,Yes
Cohen's Fashion Optical,211-51 26th Avenue,Bayside,NY,11360,(718) 631-3699,Yes
American Vision Center,41-01 Bell Boulevard,Bayside,NY,11361,(718) 428-6700,Yes
Eye Supply,39-25 Bell Boulevard,Bayside,NY,11361,(718) 279-2020,Yes
Mr. Optical Inc.,56-04 Marathon Parkway,Douglaston,NY,11362,(718) 423-3937,Yes
Windsor Optical Co.,"rd214-11 73Avenue",Bayside,NY,11364,(718) 225-5533,No
Q Gardens Hills Optical,72-59 Kissena Boulevard,Kew Gardens,NY,11367,(718) 263-2020,Yes
Lens Lab Express,37-40 Junction Boulevard,Corona,NY,11368,(718) 507-8114,Yes
Pearle Vision,75-37 31st Avenue,Jackson Heights,NY,11370,(718) 205-5797,Yes
Cohen's Fashion Optical,37-33 82nd Street,Jackson Heights,NY,11372,(718) 458-8800,Yes
Jackson Heights Optical,83-25 37th Avenue,Jackson Heights,NY,11372,(718) 426-2725,Yes
Lens Lab Express,82-02 37th Avenue,Jackson Heights,NY,11372,(718) 478-3539,No
Shades of Vision,75-17 37th Avenue,Jackson Heights,NY,11372,(718) 779-1222,Yes
Cohen's Fashion Optical,9015 Queens Boulevard,Rego Park,NY,11373,(718) 592-5200,Yes
East West Opticians,86-33 Broadway,Elmhurst,NY,11373,(718) 335-6000,No
Eye Care Advantage,88-06 55th Avenue,Elmhurst,NY,11373,(718) 760-6536,Yes
Macy's Vision Express,90-01 Queens Boulevard,Elmhurst,NY,11373,(718) 595-2266,Yes
Rego Park Medical Assoc.,59-10 Junction Boulevard,Elmhurst,NY,11373,(718) 271-6883,Yes
Lens Lab Express,95-19 63rd Drive,Rego Park,NY,11374,(718) 997-8185,Yes
"Omega Optical, Inc.",91-02 63rd Drive,Rego Park,NY,11374,(718) 897-5101,Yes
Pearle Vision,6135 Junction Boulevard,Rego Park,NY,11374,(718) 459-7100,Yes
Eye Care Advantage,96-10 Metropolitan Avenue,Forest Hills,NY,11375,(718) 286-3950,Yes
General Vision,116-53 Queens Boulevard,Forest Hills,NY,11375,(718) 261-3540,Yes
I.N. Optical,112-12 Queens Boulevard,Forest Hills,NY,11375,(718) 261-1764,Yes
Mega Vision Center II,63-73 108 Street,Forest Hills,NY,11375,(718) 896-2020,Yes
Eyellusion Vision Center,69-09 Roosevelt Avenue,Woodside,NY,11377,(718) 639-1392,Yes
GVS Express,57-52 Myrtle Avenue,Ridgewood,NY,11385,(718) 497-2020,Yes
Ridgewood Opticians,59-05 71st Avenue,Ridgewood,NY,11385,(718) 386-8900,Yes
Optical Illusion,160-55 Crossbay Boulevard,Howard Beach,NY,11414,(718) 835-2020,Yes
"Lens Express Optical, Inc",124-30 Queens Boulevard,Kew Gardens,NY,11415,(718) 261-2344,Yes
Pearle Vision,102-22 Atlantic Avenue,Ozone Park,NY,11416,(718) 846-1144,Yes
Vision World,91-12A Atlantic Avenue,Queens,NY,11416,(718) 845-3737,No
Eye Care Advantage,125-06 101st Street,Richmond Hill,NY,11418,(718) 805-5065,Yes
General Vision,115-10 Liberty Avenue,Richmond Hill,NY,11419,(718) 323-6410,Yes
Lensmasters,115-02 Liberty Avenue,Richmond Hill,NY,11419,(718) 835-8000,Yes
Sangha Optical Inc,127-14 Liberty Avenue,Richmond Hill,NY,11419,(718) 845-6888,Yes
Evan David Opticians,90-08 Jamaica Avenue,Woodhaven,NY,11421,(718) 805-2020,Yes
Eyeglasses for Less,138-35 Brookville Boulevard,Rosedale,NY,11422,(718) 723-9410,Yes
"Kew Gardens Optometry, PC",72-59 Kissena Boulevard,Flushing,NY,11423,(718) 263-2020,No
Hollis Vision Center,87-87 Francis Lewis Boulevard,Queens Village,NY,11427,(718) 217-6229,Yes
AGAPE Vision,206-13 Jamaica Avenue,Queens Village,NY,11428,(718) 740-7040,Yes
Eye Care Advantage,180-05 Hillside Avenue,Jamaica,NY,11432,(718) 262-7090,Yes
Dr. Lisa Kirkland,175-67 Hillside Avenue,Jamaica,NY,11432,(718) 657-0050,Yes
Lens Lab Express,163-34 Jamaica Avenue,Jamaica,NY,11432,(718) 526-2332,Yes
Vision World,168-03 Jamaica Avenue,Jamaica,NY,11432,(718) 657-4170,Yes
Wizard of Eyes,165-01 Jamaica Avenue,Jamaica,NY,11432,(718) 523-0730,Yes
Bright Eyes Vision Center,178-05 Hillside Avenue,Jamaica,NY,11434,(718) 657-0050,Yes
Eye Care Advantage,169-59 137th Avenue,Jamaica,NY,11434,(718) 525-5666,Yes
Wheels of Vision,138-09 Queens Boulevard,Briarwood,NY,11435,(718) 739-6507,Yes
Harbor Optics,113-10 Beach Channel Drive,Rockaway Park,NY,11694,(718) 474-1234,Yes
Dr. Spiro Antonacos,466 Pompton Avenue,Cedar Grove,NJ,7009,(973) 239-8381,Yes
Dr. Edward Maslansky,399 Kearny Avenue,Kearny,NJ,7032,(201) 991-0026,Yes
IB Vision,515 North Wood Ave Suite 202,Linden,NJ,7036,(908) 486-3333,Yes
Eye Examination Center,3400 Bergenline Avenue,Union City,NJ,7086,(201) 865-8660,Yes
Crystal Lens Express LLC,3907 Bergenline Avenue,Union City,NJ,7087,(201) 865-0123,Yes
Lens Lab Express of Union City,35-13 Bergenline Avenue,Union City,NJ,7087,(201) 865-8300,Yes
Lens Lab Express,5917 Bergenline Avenue,West New York,NJ,7093,(201) 861-0016,NO
Morganstein Eye Associates,5618 Bergenline Avenue,West New York,NJ,7093,(201) 867-2942,Yes
"Stephen Friedman, OD",5919 Bergenline Avenue,West New York,NJ,7093,(201) 854-4110,No
Cohen's Fashion Optical,460 Woodbridge Center Drive,Woodbridge,NJ,7095,(732) 636-2112,Yes
Eye Encounter of Newark,787 Broad Street,Newark,NJ,7102,(973) 643-3343,Yes
Dr. Spiro Antonacos,582 Central Avenue,East Orange,NJ,7108,(973) 673-7700,Yes
Optical Palace,1091B Springfield Avenue,Irvington,NJ,7111,(973) 416-6664,Yes
Nobel Eyeglasses,701 Route 440,Jersey City,NJ,7304,(201) 433-5080,Yes
Cohen's Fashion Optical,2877 Kennedy Boulevard,Jersey City,NJ,7306,(201) 795-3434,Yes
Optical Palace LLC,910 Bergen Avenue,Jersey City,NJ,7306,(201) 610-0980,Yes
Eye Contact,165 Main Street,Paterson,NJ,7505,(973) 278-4480,Yes
Freehold Family Eyecare,3333 Highway 9,Freehold,NJ,7728,(732) 780-5771,Yes
Specs for Less,1 Route 35,Keyport,NJ,7735,(732) 264-2500,Yes
Cohen's Fashion Optical,Rockaway Town Square Mall,Rockaway,NJ,7866,(973) 366-8072,Yes
Sterling Optical,368 Menlo Park Drive,Edison,NJ,8837,(732) 906-8081,Yes
Jeff Schaeffer,121 Market Street,Perth Amboy,NJ,8861,(732) 442-1927,Yes
Advantage Vision,72 New Hyde Park Road,Franklin Square,NY,11010,(516) 616-5888,Yes
Village Optical,1562 Union Turnpike,New Hyde Park,NY,11040,(516) 352-2316,No
Vision World,888 Willis Avenue,Albertson,NY,11507,(516) 747-6363,Yes
Dr. Christopher Gentile,21 West Merrick Road,Freeport,NY,11520,(516) 379-4041,Yes
Eye World Optical,185 West Merrick Road,Freeport,NY,11520,(516) 867-1213,Yes
Twilight Optical,660 Stewart Avenue,Garden Ctiy,NY,11530,(516) 745-0737,Yes
Eye Care Advantage,226 Clinton Street,Hempstead,NY,11550,(516) 560-2110,Yes
MetroVision,216A Fulton Avenue,Hempstead,NY,11550,(516) 538-3200,Yes
Sterling Optical,206 Hempstead Turnpike,West Hempstead,NY,11552,(516) 481-2288,Yes
Vision Screening at Sterling Optical,412 Hempstead Turnpike,West Hempstead,NY,11552,(516) 481-2288,No
Cohen's Fashion Optical,500 Hempstead Turnpike,West Hempstead,NY,11553,(516) 489-2262,Yes
American Vision Center,91 Broadway,Lynbrook,NY,11563,(516) 593-2888,Yes
"Access Optical, Dr. Richard Bohn",2169 Merrick Road,Merrick,NY,11566,(516) 223-1616,Yes
Cohen's Fashion Optical,560 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-0550,Yes
Eye Supply of Oceanside,3529 Long Beach Road,Oceanside,NY,11572,(516) 764-2020,Yes
"Plaza Optical, Dr. Richard Bohn",3450 Long Beach Road,Oceanside,NY,11572,(516)678-1616,Yes
Pearle Vision,1085 Northern Blvd,Roslyn,NY,11576,(516) 365-4066,Yes
Roslyn Eye Centre,360 Willis Avenue,Roslyn Heights,NY,11577,(516) 484-8899,Yes
Broadway Optix,213 West Merrick Road,Valley Stream,NY,11580,(516) 256-2020,Yes
Cohen's Fashion Optical/IAR Royal,11-12 Green Acres Mall,Valley Stream,NY,11580,(516) 561-5905,No
Eye Care Advantage,260 West Sunrise Highway,Valley Stream,NY,11581,(516) 823-2170,Yes
Island Vision,46 West Sunrise Highway,Valley Stream,NY,11581,(516) 791-5300,Yes
South Shore Opticians Inc.,1033 Green Acres Mall,Valley Stream,NY,11581,(516) 825-8990,Yes
South Shore Opticians Inc.,116 Broadway,Amityville,NY,11701,(631) 264-3937,Yes
Eye Care Advantage,300 Bayshore Road,No. Babylon,NY,11703,(631) 491-8750,Yes
Bayshore Vision Center,2044 Sunrise Highway,Bayshore,NY,11706,(631) 666-9595,Yes
Sterling Optical,1701 Sunrise Highway,Bayshore,NY,11706,(631) 666-4960,Yes
Vision World,627 East Main Street,Bayshore,NY,11706,(631) 666-8282,Yes
Advantage Optical,542 Jerusalem Avenue,N. Bellmore,NY,11710,(516) 679-5866,Yes
"Coram Hills Eyecare, Optometry",592 Mill Road,Coram,NY,11727,(631) 732-0822,Yes
Dr. Stephen Morgenstern,554 Larkfield Road,E. Northport,NY,11731,(631) 266-2424,Yes
Larkfield Optical,517 Larkfield Road,E. Northport,NY,11731,(631) 266-2972,Yes
Vision Center of Farmingdale,199C Merritt Road,Farmingdale,NY,11735,(516) 420-9595,Yes
MAZ Optical,"971 Main Street, Suite D",Holbrook,NY,11741,(631) 471-0600,Yes
Sterling Optical,259 Walt Whitman Road,Huntington Station,NY,11746,(631) 427-7300,Yes
Vision World,699A Old Country Road,Dix Hills,NY,11746,(631) 271-3520,Yes
Cohen's Fashion Optical,324 Smith Haven Mall,Lake Grove,NY,11755,(631) 361-7310,Yes
Central Nassau Optical,3270 Hempstead Turnpike,Levittown,NY,11756,(516) 731-5050,Yes
"Ultra Vision Optical, Dr. Jason Bart",3697 Hempstead Turnpike,Levittown,NY,11756,(516) 796-2020,Yes
Cohen's Fashion Optical,350 E Montauk Hwy,Lindenhurst,NY,11756,(631) 225-5828,Yes
Vision World,3543 Hempstead Turnpike.,Levittown,NY,11756,(516) 731-1400,Yes
Lindy Eye Care,651 No. Wellwood Avenue,N. Lindenhurst,NY,11757,(631) 226-2020,Yes
Dr. Robert Goldstein,150 East Sunrise Highway,Lindenhurst,NY,11757,(631) 226-3680,Yes
Cohen's Fashion Optical,224 Sunrise Mall,Massapequa,NY,11758,(516) 795-3030,Yes
John Facchin,111 Grand Avenue,Massapequa,NY,11758,(516) 798-2635,Yes
Vision World,70-22 Patchogue,Medford,NY,11763,(631) 924-5188,Yes
Advanced Eyecare,385-6 Rte. 25A,Miller Place,NY,11764,(631) 642-8400,Yes
General Vision,499-80 Sunrise Highway,Patchogue,NY,11772,(631) 289-2010,Yes
MAZ Optical,655-23 Montauk Highway,E. Patchogue,NY,11772,(631) 447-1300,Yes
Eye Supply,1092 Route 112,Pt Jefferson Station,NY,11776,(631) 474-3966,Yes
Vision World,524 Jefferson Plaza Route 112,Pt Jefferson Station,NY,11776,(631) 476-4707,Yes
Eye Care Advantage,640 Hawkins Avenue,Lk Ronkonkoma,NY,11779,(631) 471-1160,Yes
Sachem,388 Hawkins Avenue,Lk Ronkonkoma,NY,11779,(631) 588-7004,Yes
"Custom Eyes, Inc.",349 Independence Plaza,Selden,NY,11784,(631) 736-8969,Yes
Eye Care Advantage,350 South Broadway,Hicksville,NY,11801,(516) 733-8070,Yes
GVS of Hicksville,232 Old Country Road,Hicksville,NY,11801,(516) 681-2213,Yes
Cohen's Fashion Optical,755 Old Country Road,Riverhead,NY,11901,(631) 727-3173,Yes
